561,581
561,361
351,293
222,471
311,649
14486,14511
14486,14291
14277,14223
14148,14401
14237,14579
1403,10720
8525,2512
6112,6190
2334,868
298,675
12122,7208
9439,5748
5836,12717
11183,5470
9432,5629
2088,12803
7826,4140
6696,6753
11925,1975
12074,1994
11340,6450
7102,7196
2474,12697
12875,2843
13004,2408
2937,13245
2810,7885
7301,7084
11662,1929
11916,2000
7996,9720
6852,6890
3850,13295
13134,3022
12736,2919
1532,11253
7457,7028
7473,7619
12381,2621
12774,2510
2527,12306
7782,8030
2181,12307
13080,3808
13092,3634
2222,12268
3792,7928
3701,8017
12409,2949
12239,2292
7854,9799
7683,7158
5983,14081
13422,3484
13255,2904
394,461
394,461
6219,6860
12309,2089
11897,1913
11284,8495
7012,7079
2362,12652
13058,3062
12927,2483
6914,8929
7437,4905
6275,6957
12218,2890
12621,2337
8046,8727
7326,7070
2890,13138
13358,3893
13313,3634
3157,13203
11706,6552
1355,983
12206,2425
12398,2334
6171,9824
7438,7314
4083,13182
13171,3305
13529,2968
3238,13133
2569,3718
6777,7227
12414,2614
12652,2839
10452,13806
9619,9607
14340,14391
13688,3368
13473,3329
1821,11913
3664,6651
6115,6446
12940,3486
12799,3044
8179,7426
7480,7260
2656,12842
14125,5137
13553,4510
1549,11771
8134,7719
10056,8711
10511,3089
11286,1696
8228,6934
9105,8509
2405,12260
14011,11717
13932,10468
2117,11930
6738,4639
6642,6679
13292,3273
13016,3425
8844,9774
7662,7629
2999,12973
13399,4438
13106,5064
3225,12977
7322,7272
7187,7415
12347,1328
13139,2849
8360,7939
10040,8302
13405,14129
13606,6882
13458,4208
2206,12622
6503,6770
8763,4430
9774,3301
6439,1724
9901,5531
6940,9129
3252,13167
10255,5244
10891,3480
2649,12472
9404,5441
8500,5163
8612,3934
8689,4266
11505,3674
8697,4748
3752,13188
8655,5162
9295,5480
2149,12540
394,461
5601,6103
10668,1829
394,461
6793,6651
6629,7094
3032,12817
13402,4193
13683,3929
2571,12491
7397,2943
6839,4187
11777,2878
11441,1774
6943,9198
7293,3098
3502,13244
12736,2812
12766,2314
9816,5689
7788,3980
5908,5433
10855,4682
12820,3252
11323,8367
11496,6318
1638,10978
13142,10502
14082,13482
5653,11440
5527,11473
3447,13182
1028,1261
3350,2790
8297,7085
7774,10863
9355,14121
6233,11488
7500,7673
2172,11936
2062,9746
1432,10027
9057,9638
9347,9171
1978,9675
1409,9647
1586,9468
10150,10142
2345,9226
7687,6565
8340,6624
8708,5385
8715,4610
10731,3269
10711,5469
9839,4780
10842,4551
10139,5387
10609,4918
7693,4955
6861,5306
6186,4315
8062,5263
7378,4754
10028,9668
6880,3108
10827,2310
9081,6052
6496,3228
6490,11354
4497,13235
8770,3943
5470,9490
394,461
14211,13254
9607,4573
7853,11779
9866,9781
7186,10097
7190,3231
4380,2803
8669,2387
5497,5042
5422,5475
10973,3706
7010,5403
3687,13411
6989,6252
7680,5124
3608,8802
2945,11233
4712,7882
3462,8696
3136,9363
12332,14133
4792,9530
5888,9284
12155,13253
6156,9527
5577,9115
7014,8298
6602,8590
6328,7166
3728,10350
6791,8516
4380,7323
9104,9763
9424,9552
8320,10376
6622,7318
5698,6171
4918,8805
5421,9186
5464,8797
5728,9384
5516,8884
4719,9392
13523,8133
5339,9327
4420,3927
13465,3901
2809,2267
8721,9119
8309,10372
12017,9491
12077,8044
11052,13292
10759,10986
10052,10158
7714,9848
13487,8071
13520,8248
8360,10081
13405,7813
10225,6044
7622,9674
12364,10510
13158,10174
12225,7283
1621,11478
9521,9424
10139,10097
8588,8235
9026,8831
9431,9376
10982,11274
13611,7182
10399,10561
10680,10260
8449,13475
13549,10966
10972,9924
13263,10697
10317,9923
9294,13738
11722,11966
11214,10654
14143,14359
10724,11078
3915,11392
5658,10583
5387,8859
3452,4099
6551,6094
9888,13656
9323,8967
12646,12147
8471,10228
8022,9306
7362,6700
2336,8358
8209,7533
8717,9294
8207,8202
11723,7414
7855,11026
13352,10290
11683,9684
8788,9973
7665,5952
7796,9518
10058,4693
10073,5006
10237,5073
11243,6017
14106,13923
13118,11155
11913,7062
11012,5377
11165,6216
11279,11106
7359,7319
2232,2057
3913,3390
13659,13959
9551,10145
12515,11203
11560,5968
11386,5522
12574,12374
13332,12028
13360,11845
12965,11990
12947,10805
12341,11611
12558,13862
13646,12984
12170,11133
12911,12940
561,581
561,361
351,293
222,471
311,649
14486,14511
14486,14291
14277,14223
14148,14401
14237,14579
8999,2554
1963,12246
9946,6575
8912,2200
10594,1164
14103,14195
14001,4299
8170,8061
1584,12860
14055,14493
12213,1917
2332,12184
7272,6630
8442,2336
12196,1776
10890,7018
12585,2804
7361,7597
2181,13042
12781,2922
12237,2491
1908,12408
6922,6433
8201,3434
12553,2350
11673,12795
13149,2631
6808,7514
3174,13045
13132,3214
10801,1858
1486,11751
7752,7969
2979,7902
10808,1353
6570,9228
11244,3243
8543,8870
2005,12643
11835,2116
11103,1240
394,461
7752,7410
2963,8192
10789,1487
9874,5579
12593,1566
8601,8465
2666,12719
11968,2228
11345,1542
1398,12365
6436,7998
3862,5959
11092,1545
11356,8279
12543,1565
7518,8823
14340,14391
12294,2467
11215,1617
2456,12052
6066,5934
1870,818
10950,1473
13792,13265
12644,2061
7520,7060
2364,12530
11850,2134
10420,883
2712,13338
394,461
7967,5414
7017,792
12577,6260
11311,1801
7555,7471
3655,13133
11390,1702
12013,2432
2418,12595
7688,7469
9759,6434
12099,2846
7082,11028
13269,3354
8291,8176
4864,13840
13278,2726
12749,3059
1591,12099
7976,8007
8159,8607
12801,2653
6451,12454
13922,3608
9036,9345
2944,13151
13683,3660
11620,2181
1570,11977
6705,6782
2945,8194
11986,2336
4871,8331
13007,2257
5815,9030
2411,12651
12741,2874
394,461
1026,8330
6279,6483
3406,8844
10717,1274
11031,8530
12853,2301
14340,14391
1627,11296
12681,3015
11396,1781
2067,12416
6093,6417
6279,6169
11098,1237
10252,7800
13770,6979
7844,7410
2452,12972
13448,5512
12268,2805
2168,12220
7352,7038
394,461
11989,2508
10161,4513
9941,4634
8326,7571
5438,8672
10456,4863
9114,5421
2391,13413
6308,6382
6143,6845
6299,6253
7110,11084
10242,7421
9545,10026
14340,14391
8657,7865
6526,6799
394,461
6393,6342
8277,5446
6708,7039
1036,10694
6669,6754
7321,6884
1278,10738
7374,7836
2068,1916
3394,7736
394,461
8103,2374
357,543
6695,6250
14280,14084
